Ticker,count_7_11_2022,nlp_7_11_2022,count_7_12_2022,nlp_7_12_2022,count_7_15_2022,nlp_7_15_2022,count_7_17_2022,nlp_7_17_2022,count_7_18_2022,nlp_7_18_2022,count_7_19_2022,nlp_7_19_2022,count_7_20_2022,nlp_7_20_2022,count_7_22_2022,nlp_7_22_2022,count_7_23_2022,nlp_7_23_2022,count_7_27_2022,nlp_7_27_2022,count_7_28_2022,nlp_7_28_2022,count_7_29_2022,nlp_7_29_2022,count_8_1_2022,nlp_8_1_2022,count_8_2_2022,nlp_8_2_2022,count_8_3_2022,nlp_8_3_2022,count_8_4_2022,nlp_8_4_2022,count_8_5_2022,nlp_8_5_2022,count_8_8_2022,nlp_8_8_2022,count_8_9_2022,nlp_8_9_2022,count_8_15_2022,nlp_8_15_2022,count_8_16_2022,nlp_8_16_2022,count_8_17_2022,nlp_8_17_2022,count_8_18_2022,nlp_8_18_2022,count_8_22_2022,nlp_8_22_2022,count_8_23_2022,nlp_8_23_2022
WMT,2.0,0.8767,4.0,0.798775,4.0,0.7972250000000001,4.0,0.7972250000000001,4.0,0.7972250000000001,4.0,0.7972250000000001,4.0,0.7972250000000001,3.0,0.7707333333333333,3.0,0.7707333333333333,12.0,0.141175,14.0,0.07,12.0,0.0451583333333333,10.0,0.35826,10.0,0.35826,10.0,0.3530999999999999,8.0,0.2077125,8.0,0.2077125,3.0,-0.1454333333333333,3.0,-0.1454333333333333,5.0,-0.0340599999999999,6.0,0.1682666666666666,3.0,0.5776333333333333,3.0,0.5776333333333333,5.0,0.64238,4.0,0.567175
PG,2.0,0.7330000000000001,2.0,0.7330000000000001,2.0,0.7330000000000001,2.0,0.7330000000000001,2.0,0.7330000000000001,2.0,0.7330000000000001,1.0,0.6245,2.0,0.6453500000000001,3.0,0.7449666666666667,3.0,0.8635333333333334,3.0,0.8635333333333334,3.0,0.8778333333333334,4.0,0.658375,4.0,0.658375,2.0,0.98365,1.0,0.9887,1.0,0.9887,3.0,0.6442666666666667,3.0,0.6442666666666667,1.0,0.7579,1.0,0.7579,1.0,0.7579,1.0,0.7579,,,,
BAC,3.0,0.4966333333333333,3.0,0.4966333333333333,4.0,0.108925,4.0,0.108925,6.0,0.3234333333333333,5.0,0.5431199999999999,4.0,0.7920999999999999,2.0,0.81625,2.0,0.81625,4.0,0.8982249999999999,3.0,0.9642,3.0,0.9642,2.0,0.9802,2.0,0.9802,2.0,0.9802,2.0,0.9802,1.0,0.9675,2.0,0.9835,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,3.0,0.9417333333333332
MA,5.0,0.69368,5.0,0.69368,1.0,0.9612,,,,,1.0,0.968,1.0,0.9854,2.0,0.3447,3.0,0.5445333333333334,1.0,0.9786,4.0,0.2157,4.0,0.2157,5.0,0.37104,4.0,0.7095,4.0,0.7095,4.0,0.7135,6.0,0.4328833333333333,5.0,0.31012,5.0,0.31012,7.0,0.2395714285714285,6.0,0.3516666666666666,4.0,0.429025,4.0,0.429025,8.0,0.438475,8.0,0.43023750000000005
HD,,,,,,,,,,,,,,,,,,,1.0,0.9979,1.0,0.9979,2.0,0.92255,2.0,0.92255,3.0,0.8015,3.0,0.8015,3.0,0.8015,2.0,0.92255,2.0,0.5166999999999999,2.0,0.5166999999999999,,,1.0,0.9932,1.0,0.9932,1.0,0.9932,2.0,0.9949,2.0,0.9949
XOM,2.0,0.98445,2.0,0.98445,2.0,0.98445,2.0,0.98445,3.0,0.5698,2.0,0.3651999999999999,2.0,0.284,2.0,0.284,2.0,0.284,5.0,0.5288200000000001,5.0,0.5288200000000001,7.0,0.5189714285714285,9.0,0.4948111111111111,8.0,0.453225,7.0,0.5179714285714285,4.0,0.7005250000000001,2.0,0.99385,2.0,0.99385,2.0,0.99385,1.0,0.999,1.0,0.999,1.0,0.999,1.0,0.2555,,,,
DIS,10.0,0.12343,9.0,0.0263,8.0,0.152075,6.0,0.1654333333333333,4.0,0.156675,2.0,0.4943,3.0,0.093,3.0,0.2602333333333333,4.0,0.31865,4.0,0.747075,4.0,0.747075,4.0,0.747075,5.0,0.7941,5.0,0.8266600000000001,5.0,0.8266600000000001,3.0,0.8798666666666666,1.0,0.6645,3.0,0.5823333333333333,3.0,0.5823333333333333,13.0,0.5691076923076923,13.0,0.5691076923076923,13.0,0.5691076923076923,13.0,0.5691076923076923,11.0,0.5302636363636363,8.0,0.539125
KO,7.0,0.2343714285714286,6.0,0.1952333333333333,4.0,0.272775,4.0,0.272775,4.0,0.272775,3.0,0.0373666666666666,2.0,-0.3647,,,1.0,0.9442,6.0,0.8180000000000001,6.0,0.8180000000000001,6.0,0.8180000000000001,7.0,0.7011428571428572,6.0,0.652,6.0,0.7591333333333333,5.0,0.71524,5.0,0.66966,5.0,0.8212400000000001,5.0,0.49032,3.0,0.7219000000000001,2.0,0.76145,1.0,0.7579,1.0,0.7579,1.0,0.4939,1.0,0.4939
PFE,4.0,0.6946749999999999,4.0,0.6946749999999999,2.0,0.94535,1.0,0.8986,1.0,0.8986,1.0,0.8986,1.0,0.8986,1.0,0.8986,2.0,0.9214,3.0,0.6386333333333333,3.0,0.3901333333333333,3.0,0.3901333333333333,2.0,0.56585,2.0,0.56585,2.0,0.56585,1.0,0.1531,1.0,0.1531,1.0,0.9964,1.0,0.9964,1.0,0.9964,1.0,0.9964,1.0,0.9964,1.0,0.9964,,,,
ABBV,2.0,-0.0943,,,,,,,,,,,,,,,1.0,0.9442,1.0,0.9786,1.0,0.9786,1.0,0.9786,1.0,0.9786,1.0,0.9786,1.0,0.9786,,,,,,,,,,,,,,,,,,,,
CVX,,,,,,,,,1.0,-0.2595,1.0,-0.2595,1.0,-0.2595,2.0,0.20335,3.0,0.4503,2.0,0.8224,2.0,0.8224,3.0,0.8778333333333334,3.0,0.8778333333333334,3.0,0.8778333333333334,2.0,0.98365,1.0,0.9887,2.0,0.99385,2.0,0.99385,2.0,0.99385,2.0,0.7623,1.0,0.999,1.0,0.999,,,1.0,0.9454,2.0,0.92275
AVGO,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,,,,,,,,,,,,
PEP,2.0,0.4895,3.0,0.6539666666666667,3.0,0.6539666666666667,2.0,0.98095,2.0,0.98095,1.0,0.9829,1.0,0.9829,2.0,0.82455,2.0,0.82455,1.0,0.6662,1.0,0.6662,1.0,0.6662,1.0,0.6662,1.0,0.6662,,,,,,,,,,,,,,,,,,,1.0,0.9999,,
LLY,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4753,1.0,0.4753,1.0,0.4753,2.0,0.7258,2.0,0.7258,2.0,0.7258,2.0,0.7258,1.0,0.9763,,,,,,,,,,
VZ,2.0,-0.0943,,,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,2.0,0.8472999999999999,2.0,0.8472999999999999,3.0,0.8958333333333334,2.0,0.9936,2.0,0.9936,3.0,0.6932666666666667,3.0,0.6932666666666667,3.0,0.6932666666666667,1.0,0.9929,1.0,0.765,2.0,0.76145,3.0,0.2785999999999999,2.0,0.76145,4.0,0.73665,3.0,0.7272,3.0,0.7272,2.0,0.71185,2.0,0.71185
COST,4.0,0.8041250000000001,5.0,0.8099000000000001,4.0,0.7932,3.0,0.7283333333333334,3.0,0.7283333333333334,3.0,0.7283333333333334,2.0,0.85485,1.0,0.833,1.0,0.833,,,,,,,,,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9759,,,,,,,,,1.0,0.9176
